Identifier	Gene	Blattner number (bnumber) of the gene	Gene left end position in the genome	Gene right end position in the genome	DNA strand where the gene is coded	NAME	Evidence that supports the existence of the gene	PMIDs list
ECK120002618	C0614		2651474	2651560	reverse	C0614	[IDA|S|Inferred from direct assay]	12202758,
ECK120002619	IS128		2651537	2651745	forward	IS128	[IDA|S|Inferred from direct assay]	12069726,
ECK125121983	IS129		2651686	2652078	reverse	IS129	[IDA|S|Inferred from direct assay]	12069726,
ECK120002590	ryfA		2651877	2652180	forward	RyfA	[IDA|S|Inferred from direct assay]	11553332,
ECK120002620	glmY		2689179	2689362	reverse	GlmY	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11553332,14602901,17854828,19734312,22355164,22661574,
ECK120030081	ryfB		2698081	2698399	reverse	ryfB	[IDA|S|Inferred from direct assay]	15718303,
ECK120030082	ohsC		2698542	2698618	forward	OhsC	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	15718303,18710431,
ECK120030083	ryfD	b4609	2732175	2732317	reverse	RyfD	[IDA|S|Inferred from direct assay]	15718303,
ECK125121987	rpsP5'		2744205	2744454	reverse	RpsP5'	[IDA|S|Inferred from direct assay]	15718303,
ECK120002542	ssrA		2753615	2753977	forward	TmRNA	[IDA|S|Inferred from direct assay]	10449423,11459181,12533482,1695897,384159,7511583,9150876,
ECK120002578	micA	b4442	2812824	2812895	forward	MicA	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11448770,16204185,16313626,20976191,23594456,
ECK120002621	C0664		2833077	2833189	forward	C0664	[IDA|S|Inferred from direct assay]	12202758,
ECK125135289	sokX	b4701	2885375	2885430	forward	SokX	[IDA|S|Inferred from direct assay]	15718303,
ECK120002573	csrB		2922178	2922546	reverse	CsrB	[IDA|S|Inferred from direct assay]	9211896,
ECK120002579	gcvB		2940718	2940922	forward	GcvB	[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction],[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]	10972807,11448770,12069726,17264113,18312576,19118351,19221499,22020646,23316042,
ECK120002580	omrA	b4444	2974124	2974211	reverse	OmrA	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,11448770,11553332,16359331,18953042,20407422,22040174,
ECK120002593	omrB	b4445	2974326	2974407	reverse	OmrB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	14602901,16359331,18953042,
ECK120002541	ssrS	b2911	3054005	3054187	forward	6S RNA	[IDA|S|Inferred from direct assay]	10892648,1098044,4570237,4929322,6231216,
ECK120002597	sibC	b4446	3054873	3055013	forward	SibC	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,18710431,
ECK125135301			3065209	3065366	forward	YgfI5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120002622	C0719		3119380	3119601	forward	C0719	[IDA|S|Inferred from direct assay]	12202758,
ECK120002646	sroG		3182592	3182740	reverse	SroG	[IDA|S|Inferred from direct assay]	14602901,
ECK120002623	sibD	b4447	3192743	3192887	reverse	SibD	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	10673004,11553332,12069726,18710431,
ECK120030085	sibE	b4611	3193119	3193262	reverse	SibE	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	10673004,18710431,
ECK120002581	sraF		3236396	3236583	forward	PsrN	[IDA|S|Inferred from direct assay]	11448770,12069726,
ECK120002511	rnpB	b3123	3268238	3268614	reverse	RnpB	[IDA|S|Inferred from direct assay]	11377419,12834304,1705543,2199767,3047674,3402736,3526344,6154228,6195144,6197186,9174096,9891848,
ECK120002582	psrO		3309247	3309420	forward	PsrO	[IDA|S|Inferred from direct assay]	11448770,
ECK125122006	yrbL3'		3347168	3347207	forward	YrbL3'	[IDA|S|Inferred from direct assay]	15718303,
ECK120002583	arcZ	b4450	3348599	3348719	forward	ArcZ	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,11448770,20457943,23659637,
ECK125135303			3352086	3352191	forward	YhcC5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK125135305			3365635	3365792	reverse	YhcF3'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK125122001	rpsI3'		3375389	3375473	reverse	RpsI3'	[IDA|S|Inferred from direct assay]	15718303,
ECK125122004	crpT		3483673	3483973	reverse	CrpT	[IE|W|Inferred from experiment]	12202758,1715982,2425359,
ECK120002584	ryhB		3578950	3579039	reverse	RyhB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11917098,12069726,14617150,19541626,22083717,22096151,
ECK125158033	agrA		3646086	3646169	forward	AgrA small RNA		
ECK125158035	agrB	b4713	3646317	3646400	forward	AgrB small RNA	[IMP|W|Inferred from mutant phenotype]	23408903,
ECK125135001	arrS		3656009	3656077	reverse	ArrS	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence]	21501346,
ECK120002624	gadY		3662887	3662991	forward	GadY	[IDA|S|Inferred from direct assay],[IEP|W|Inferred from expression pattern]	12069726,15466020,21147125,
ECK120002627	rdlD		3698159	3698222	forward	RdlD	[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment]	12123448,15718303,
ECK120015142	istR-2		3851141	3851280	reverse	Istr-2	[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment]	11448770,15620655,
ECK120015143	istR-1		3851141	3851215	reverse	Istr-1	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	15620655,17499044,
ECK120002585	glmZ	b4456	3984455	3984626	forward	GlmZ	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	11445539,11448770,17824929,22661574,
ECK125135307			3999214	3999357	forward	YigE5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120002540	spf		4047922	4048030	forward	Spot42	[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction]	12069726,12101127,1715853,18388495,23980183,6183253,
ECK120002586	csrC		4049059	4049303	forward	CsrC	[IDA|S|Inferred from direct assay]	11448770,12694612,
ECK125122003	glnA3'		4054007	4054201	reverse	GlnA3'	[IDA|S|Inferred from direct assay]	15718303,
ECK125135309			4056194	4056265	forward	TypA5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK120002558	oxyS		4156308	4156417	reverse	OxyS	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]	16030151,16597239,18467773,19119855,21106118,21205841,7986015,9230301,
ECK120002647	sroH		4188350	4188510	reverse	SroH	[IDA|S|Inferred from direct assay]	14602901,
ECK125121993	lysC5'		4230812	4231337	reverse	LysC5'	[IDA|S|Inferred from direct assay]	15718303,
ECK120002587	ryjA	b4459	4275950	4276089	reverse	RyjA	[IDA|S|Inferred from direct assay]	11445539,11448770,
ECK125135311			4439248	4439353	reverse	YtfL5'	[IDA|S|Inferred from direct assay],[IHBCE|W|Inferred by a human based on computational evidence],[IE|W|Inferred from experiment]	21665928,
ECK125121995	mgtA5'		4464820	4465199	forward	MgtA5'	[IDA|S|Inferred from direct assay]	15718303,
ECK120030092	ryjB	b4624	4526000	4526089	forward	RyjB	[IDA|S|Inferred from direct assay]	15718303,
ECK125121997	fimA3'		4541230	4541277	forward	FimA3'	[IDA|S|Inferred from direct assay]	15718303,
ECK120030093	symR		4577858	4577934	forward	SymR	[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]	15718303,17462020,
