NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
aes	498238	499197	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
agaR	3275878	3276687	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
agaS-kbaY-agaBCDI	3279998	3285047	forward	[ITCR|W|Inferred through co-regulation]
agp	1064808	1066049	forward	[BTEI|W|Boundaries of transcription experimentally identified]
agrA	3646086	3646169	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
agrB	3646317	3646400	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
ahpCF	638168	640541	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process]; [BTEI|W|Boundaries of transcription experimentally identified]"
ahr	4493213	4494232	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
aidB	4412298	4413923	forward	
ais	2363040	2363642	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
alaA-yfbR	2405583	2407483	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation]"
alaC	2495079	2496317	reverse	[ICWHO|W|Inferred computationally without human oversight]
alaE	2797186	2797635	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
alaS	2817403	2820033	reverse	[LTED|S|Length of transcript experimentally determined]
alaWX	2516063	2516253	reverse	"[IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]"
aldA	1486256	1487695	forward	[LTED|S|Length of transcript experimentally determined]
aldB	3752996	3754534	reverse	[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]
alkA	2144716	2145564	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
allA	531675	532157	forward	[BTEI|W|Boundaries of transcription experimentally identified]
allDCE	542485	545587	reverse	"[IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation]"
allR	532235	533050	forward	[BTEI|W|Boundaries of transcription experimentally identified]
allS	530519	531445	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
alpA	2756666	2756878	forward	[ICWHO|W|Inferred computationally without human oversight]
alr	4263805	4264884	forward	[ICWHO|W|Inferred computationally without human oversight]
alsK	4304893	4305822	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
alx	3236602	3237567	forward	"[IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation],[ICWHO|W|Inferred computationally without human oversight]"
amiA-hemF	2550374	2552146	forward	[LTED|S|Length of transcript experimentally determined]
amiC	2945779	2947032	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
amn	2053085	2054539	forward	[ICWHO|W|Inferred computationally without human oversight]
ampC	4375834	4376967	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
ampDE	118733	120135	forward	[IC|W|Inferred by curator]
ampG	451294	452769	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ampH	394354	395511	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
amyA	2004180	2005667	forward	[BTEI|W|Boundaries of transcription experimentally identified]
anmK	1716517	1717626	reverse	[ICWHO|W|Inferred computationally without human oversight]
ansA-pncA	1848884	1850552	forward	[PM|S|Polar mutation]
ansB	3097704	3098750	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
ansP	1522505	1524004	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
apbE	2308501	2309556	reverse	[ICWHO|W|Inferred computationally without human oversight]
aphA	4267437	4268150	forward	[ICWHO|W|Inferred computationally without human oversight]
appCBXA	1036963	1041138	forward	[ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]
appY	582904	583653	forward	"[IEP|W|Inferred from expression pattern]; [ICWHO|W|Inferred computationally without human oversight]"
apt	490636	491187	forward	[ICWHO|W|Inferred computationally without human oversight]
aqpZ	914575	915270	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined]"
araBAD	65855	70048	reverse	
araC	70387	71265	forward	
araE	2978786	2980204	reverse	
araFGH	1980578	1984152	reverse	"[ITCR|W|Inferred through co-regulation]; [IC|W|Inferred by curator]"
araJ	410521	411705	reverse	
arcA	4637613	4638329	reverse	
arcB	3348711	3351047	reverse	[LTED|S|Length of transcript experimentally determined]
arcZ	3348599	3348719	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
arfA	3436453	3436671	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
argA	2947264	2948595	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
argCBH	4153024	4156246	forward	
argD	3486982	3488202	reverse	
argE	4151719	4152870	reverse	[ICWHO|W|Inferred computationally without human oversight]
argF	288525	289529	reverse	
argG	3316659	3318002	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
argI	4475330	4476334	reverse	
argO	3066195	3066830	reverse	[ICWHO|W|Inferred computationally without human oversight]
argP	3057775	3058668	forward	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
argR	3382725	3383195	forward	
argS	1958086	1959819	forward	[ICWHO|W|Inferred computationally without human oversight]
argT-hisJQMP	2421758	2425813	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process]
argU	563946	564022	forward	[BTEI|W|Boundaries of transcription experimentally identified]
argW	2464331	2464405	forward	[BTEI|W|Boundaries of transcription experimentally identified]
argX-hisR-leuT-proM	3980398	3980834	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
arnBCADTEF	2363932	2371300	forward	[ICWHO|W|Inferred computationally without human oversight]
aroF-tyrA	2736970	2739172	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process],[BTEI|W|Boundaries of transcription experimentally identified]
aroG	784856	785908	forward	[BTEI|W|Boundaries of transcription experimentally identified]
aroH	1786459	1787505	forward	[BTEI|W|Boundaries of transcription experimentally identified]
aroKB-damX-dam-rpe-gph-trpS	3510656	3517086	reverse	[PM|S|Polar mutation]
aroL-yaiA-aroM	405629	407329	forward	[LTED|S|Length of transcript experimentally determined]
aroP	120178	121551	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
arpA	4218324	4220510	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
arpB_1B_2	1801118	1803017	forward	[ICWHO|W|Inferred computationally without human oversight]
arrS	3656009	3656077	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
arsRBC	3646551	3648685	forward	[LTED|S|Length of transcript experimentally determined],[IHBCE|W|Inferred by a human based on computational evidence]
artJ	899067	899798	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
artPIQM	900089	902957	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
ascFB	2837546	2840436	forward	
ascG	2836276	2837286	reverse	
asd	3571798	3572901	reverse	[ICWHO|W|Inferred computationally without human oversight]
aslA	3982375	3984030	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
aslB	3980981	3982216	forward	
asmA	2137783	2139636	reverse	[ICWHO|W|Inferred computationally without human oversight]
asnA	3925178	3926170	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
asnB	696736	698400	reverse	[ICWHO|W|Inferred computationally without human oversight]
asnC-mioC-mnmG-rsmG	3921080	3925026	reverse	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight]; [ICWHO|W|Inferred computationally without human oversight],[PM|S|Polar mutation]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
asnS	986808	988208	reverse	[ICWHO|W|Inferred computationally without human oversight]
asnT	2042573	2042648	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
asnU	2057875	2057950	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
asnV	2060284	2060359	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
asnW	2056051	2056126	reverse	[LTED|S|Length of transcript experimentally determined]
aspA-dcuA	4363495	4366350	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
aspC	983742	984932	reverse	[ICWHO|W|Inferred computationally without human oversight]
aspS	1946774	1948546	reverse	"[IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]"
aspT	3944895	3944971	forward	[IHBCE|W|Inferred by a human based on computational evidence]
aspU	228928	229004	forward	[IHBCE|W|Inferred by a human based on computational evidence]
aspV	236931	237007	forward	[BTEI|W|Boundaries of transcription experimentally identified]
asr	1669400	1669708	forward	[BTEI|W|Boundaries of transcription experimentally identified]
astCADBE	1823979	1830006	reverse	"[IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified],[IEP|W|Inferred from expression pattern]"
atl	475206	475595	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
atoDAEB	2321469	2325315	forward	
atoSC	2318065	2321273	forward	[ICWHO|W|Inferred computationally without human oversight]
atpIBEFHAGDC	3913576	3920463	reverse	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
avtA	3737728	3738981	forward	[ICWHO|W|Inferred computationally without human oversight]
azoR	1480279	1480884	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
azuC	1985897	1985983	reverse	[LTED|S|Length of transcript experimentally determined]
bacA	3201332	3202153	reverse	
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	197928	208608	forward	"[ITCR|W|Inferred through co-regulation]; [BTEI|W|Boundaries of transcription experimentally identified]"
bamB-der	2633906	2636674	reverse	[ITCR|W|Inferred through co-regulation]
bamD	2734168	2734905	forward	[ICWHO|W|Inferred computationally without human oversight]
bamE	2751627	2751968	forward	
barA	2913079	2915835	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
basRS	4330204	4331973	reverse	[IC|W|Inferred by curator]
bax	3734376	3735200	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
bcp	2598500	2598970	forward	
bcr	2276592	2277782	reverse	[ICWHO|W|Inferred computationally without human oversight]
bcsABZC	3683723	3693259	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [ITCR|W|Inferred through co-regulation]"
bcsEFG	3694481	3697916	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
bcsQ	3693256	3693984	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
bdcA	4471363	4472076	reverse	[ICWHO|W|Inferred computationally without human oversight]
bdcR	4472147	4472740	forward	[ICWHO|W|Inferred computationally without human oversight]
bdm-sra	1553850	1554304	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
bepA-yfgD	2614116	2615959	forward	[ITCR|W|Inferred through co-regulation]
betIBA	324801	328558	reverse	[IC|W|Inferred by curator]
betT	328687	330720	forward	
bfd-bfr	3464271	3465013	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
bglA	3041684	3043123	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
bglGFB	3900312	3904590	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
bglH-yieLK	3896694	3900243	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
bglX	2217714	2220011	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
bhsA	1168296	1168553	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
bioA	807191	808480	reverse	
bioBFCD	808567	812170	forward	
bioH	3542096	3542866	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
bisC	3712084	3714417	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
blc	4375212	4375745	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
blr	1702575	1702700	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
bluF	1213487	1214698	reverse	[ICWHO|W|Inferred computationally without human oversight]
bluR	1212551	1213282	reverse	[ICWHO|W|Inferred computationally without human oversight]
bolA	453696	454013	forward	[BTEI|W|Boundaries of transcription experimentally identified]
borD	577823	578116	reverse	
brnQ-proY	418815	421583	forward	[ICWHO|W|Inferred computationally without human oversight]
bsmA	4414464	4414793	reverse	[ICWHO|W|Inferred computationally without human oversight]
bssR	877471	877854	forward	[ICWHO|W|Inferred computationally without human oversight]
bssS	1119924	1120178	reverse	[IC|W|Inferred by curator]
btuB-murI	4161662	4164308	forward	[ICWHO|W|Inferred computationally without human oversight]
btuCED	1790833	1793176	reverse	
cadBA	4354493	4358054	reverse	[PM|S|Polar mutation]
cadC	4358419	4359957	reverse	
caiF	34300	34695	forward	[LTED|S|Length of transcript experimentally determined]
caiTABCDE	34781	41931	reverse	"[PAGTSBP|W|Products of adjacent genes in the same biological process]; [IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[BTEI|W|Boundaries of transcription experimentally identified]"
can	142008	142670	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[IEP|W|Inferred from expression pattern]
carAB	29651	34038	forward	[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]
cas3	2882575	2885241	reverse	[ICWHO|W|Inferred computationally without human oversight]
casABCDE12	2876591	2882160	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
cbl	2057988	2058938	reverse	[LTED|S|Length of transcript experimentally determined]
cbpAM	1061773	1062998	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process]
cbrA	3867400	3868464	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
cbrBC	3895529	3896632	forward	"[ICWHO|W|Inferred computationally without human oversight]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
cdaR	182463	183620	forward	[LTED|S|Length of transcript experimentally determined]
cdd	2229866	2230750	forward	[ICWHO|W|Inferred computationally without human oversight]
cdh	4107953	4108708	forward	[BTEI|W|Boundaries of transcription experimentally identified]
cdsA	195677	196534	forward	"[IC|W|Inferred by curator]; [IHBCE|W|Inferred by a human based on computational evidence]"
cedA	1811445	1811687	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
cfa	1739437	1740585	forward	[LTED|S|Length of transcript experimentally determined]
chaA	1269972	1271072	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
chaBC	1271342	1272425	forward	[IC|W|Inferred by curator],[BTEI|W|Boundaries of transcription experimentally identified]
chbBCARFG	1814410	1819643	reverse	[IC|W|Inferred by curator]
chiA	3465182	3467875	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
chiP-ybfN	707557	709339	forward	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight]"
cho	1821539	1822426	forward	[LTED|S|Length of transcript experimentally determined]
chpSB	4446470	4447065	forward	
cirA	2242800	2244791	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
citCDEFXG	645854	651079	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight]
citT	644340	645803	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
clcA	175107	176528	forward	[ICWHO|W|Inferred computationally without human oversight]
clcB	1663339	1664595	forward	[ICWHO|W|Inferred computationally without human oversight]
clpA	922487	924763	forward	[BTEI|W|Boundaries of transcription experimentally identified]
clpB	2729622	2732195	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
clpPX-lon	455901	460466	forward	"[ITCR|W|Inferred through co-regulation]; [LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight],[IEP|W|Inferred from expression pattern]"
clpS	922136	922456	forward	"[IHBCE|W|Inferred by a human based on computational evidence]; [IC|W|Inferred by curator]"
clsA-yciU	1304845	1306669	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
cmk-rpsA-ihfB	960424	963335	forward	"[PM|S|Polar mutation]; [LTED|S|Length of transcript experimentally determined]"
cmtBA-yggPFDC	3071998	3077352	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
cnu	1702973	1703188	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
coaA	4172099	4173049	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
coaE-zapD-yacG	111649	113219	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [BTEI|W|Boundaries of transcription experimentally identified]"
cobUST	2061412	2063788	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
codBA	354146	356678	forward	[ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]
cof	466636	467454	forward	[ICWHO|W|Inferred computationally without human oversight]
comR	1167423	1168055	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
copA	508099	510603	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
corA	3999449	4000399	forward	[BTEI|W|Boundaries of transcription experimentally identified]
cpdB	4432645	4434588	reverse	
cpxP	4103843	4104343	forward	[BTEI|W|Boundaries of transcription experimentally identified]
cpxRA	4101625	4103693	reverse	[IC|W|Inferred by curator]
cra	88028	89032	forward	[ICWHO|W|Inferred computationally without human oversight]
crcB	656778	657161	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
creABCD	4633544	4637553	forward	"[ITCR|W|Inferred through co-regulation]; [BTEI|W|Boundaries of transcription experimentally identified]"
crfC-yjcZ	4325158	4328261	forward	[ICWHO|W|Inferred computationally without human oversight]
crl	257829	258230	forward	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
crp	3484142	3484774	forward	
csdAE	2941359	2943007	forward	[ICWHO|W|Inferred computationally without human oversight]
csgBAC	1103174	1104516	forward	[LTED|S|Length of transcript experimentally determined]
csgDEFG	1100074	1102419	reverse	"[PAGTSBP|W|Products of adjacent genes in the same biological process],[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
csiD-lhgO-gabDTP	2787007	2793675	forward	[ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]
csiE	2663457	2664737	forward	
csiR	2793696	2794358	forward	[IC|W|Inferred by curator]
cspA	3718072	3718284	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
cspB	1639363	1639578	reverse	
cspD	921589	921813	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
cspE	656515	656724	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
cspF	1639879	1640091	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
cspG	1050684	1050896	forward	
cspH	1050186	1050398	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
cspI	1636479	1636691	reverse	
csrA	2816983	2817168	reverse	[ICWHO|W|Inferred computationally without human oversight]
csrB	2922178	2922546	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
csrC	4049059	4049303	forward	[LTED|S|Length of transcript experimentally determined]
csrD	3399414	3401354	reverse	[ICWHO|W|Inferred computationally without human oversight]
cstA	629117	631222	forward	[BTEI|W|Boundaries of transcription experimentally identified]
cueO	137083	138633	forward	
cueR	513217	513624	forward	[ICWHO|W|Inferred computationally without human oversight]
curA	1517051	1518088	forward	[ICWHO|W|Inferred computationally without human oversight]
cusCFBA	594823	601080	forward	[LTED|S|Length of transcript experimentally determined]
cusRS	592551	594666	reverse	[LTED|S|Length of transcript experimentally determined]
cutA	4363041	4363379	reverse	[PM|S|Polar mutation]
cutC	1956544	1956984	reverse	"[IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]"
cvpA-purF-ubiX	2426079	2428785	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
cvrA	1239558	1241294	reverse	[ICWHO|W|Inferred computationally without human oversight]
cyaA	3989176	3991722	forward	
cyaR	2165138	2165224	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
cyaY	3991762	3992082	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
cybB	1488926	1489456	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
cybC	4457576	4457878	forward	[ICWHO|W|Inferred computationally without human oversight]
cycA	4427887	4429299	forward	[ICWHO|W|Inferred computationally without human oversight]
cydAB	770681	773404	forward	[TAS|W|Traceable author statement]
cydDC	926697	930185	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]"
cydX-ybgE	773419	773825	forward	[IHBCE|W|Inferred by a human based on computational evidence]
cynR	357015	357914	reverse	
cynTSX	358023	360370	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
cyoABCDE	446039	450834	reverse	[IC|W|Inferred by curator]
cysB	1331879	1332853	forward	
cysDNC	2871409	2874351	reverse	"[ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified],[IEP|W|Inferred from expression pattern],[PM|S|Polar mutation]; [IC|W|Inferred by curator]"
cysE	3779764	3780585	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
cysJIH	2885600	2889920	reverse	
cysK	2530431	2531402	forward	[IC|W|Inferred by curator],[BTEI|W|Boundaries of transcription experimentally identified]
cysPUWAM	2536694	2541550	reverse	
cysQ	4434778	4435518	forward	[ICWHO|W|Inferred computationally without human oversight]
cysS	553834	555219	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
cysZ	2529485	2530246	forward	[ICWHO|W|Inferred computationally without human oversight]
cytR	4121454	4122479	reverse	[ICWHO|W|Inferred computationally without human oversight]
dacA	661975	663186	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
dacB	3326985	3328418	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dacC	879950	881152	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
dacD	2079405	2080571	reverse	[ICWHO|W|Inferred computationally without human oversight]
dadAX	1236794	1239172	forward	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation]
dapA-bamC	2595853	2597782	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [PM|S|Polar mutation]"
