Product Type	NAME	Gene
-	periplasmic chaperone	hlpA
-		lpxD
-	FabZ	fabZ
-	LpxA	lpxA
-	LpxB	lpxB
-	RNAse HII,  degrades RNA of DNA-RNA hybrids	rnhB
-	"DNA polymerase III, &alpha; subunit"	dnaE
-	"acetyl-CoA carboxyltransferase, &alpha; subunit"	accA
-	LdcC	ldcC
-	predicted lyase	yaeR
-	tRNA<sup>Ile</sup>-lysidine synthetase	tilS
-	modulator of Rho-dependent transcription termination	rof
-	conserved protein	yaeP
-	conserved protein	yaeQ
-	peptidyl-tRNA hydrolase, ribosome rescue factor	arfB
-	outer membrane lipoprotein NlpE, involved in surface sensing	nlpE
-	predicted lipoprotein	yaeF
-	prolyl-tRNA synthetase	proS
-	conserved protein	yaeB
-	RcsF outer membrane lipoprotein	rcsF
-	L-methionine / D-methionine ABC transporter - periplasmic binding protein	metQ
-	L-methionine / D-methionine ABC transporter - membrane subunit	metI
-	L-methionine / D-methionine ABC transporter - ATP binding subunit	metN
-	D,D-heptose 1,7-bisphosphate phosphatase	gmhB
rRNA	rrsH 16S ribosomal RNA	rrsH
tRNA	tRNA<SUP>ileV</SUP>	ileV
tRNA	tRNA<SUP>alaV</SUP>	alaV
rRNA	rrlH 23S ribosomal RNA	rrlH
rRNA	rrfH 5S ribosomal RNA	rrfH
tRNA	tRNA<SUP>aspU</SUP>	aspU
-	methylglyoxal reductase/4-nitrobenzaldehyde reductase/2,5-diketo-D-gluconate reductase	dkgB
-	predicted DNA-binding transcriptional regulator  LYSR-type	yafC
-	conserved protein	yafD
-	predicted S-adenosylmethionine-dependent methyltransferase	yafE
-	membrane-bound lytic murein transglycosylase D	mltD
-	glyoxalase II	gloB
-	predicted S-adenosyl-L-methionine-dependent methyltransferase	yafS
-	RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication	rnhA
-	"DNA polymerase III, &epsilon; subunit"	dnaQ
tRNA	tRNA<SUP>aspV</SUP>	aspV
-	predicted aminopeptidase	yafT
-	hypothetical protein	ykfM
small RNA	C0067	C0067
-	predicted inner membrane protein	yafU
-	conserved protein	yafF
-	predicted C-N hydrolase family amidase, NAD(P)-binding	yafV
-	inhibitor of vertebrate C-type lysozyme	ivy
-	acyl-CoA dehydrogenase	fadE
-	D-sedoheptulose 7-phosphate isomerase	lpcA
-	predicted amidotransferase	yafJ
-	conserved protein	yafK
-	toxin of the YafQ-DinJ toxin-antitoxin system	yafQ
-	DinJ antitoxin of YafQ-DinJ toxin-antitoxin system and DNA-binding transcriptional repressor	dinJ
-	predicted lipoprotein and C40 family peptidase	yafL
-	REP-associated tyrosine transposase	rayT
-	flagellar system protein, promoterless fragment	lfhA
-	flagellar system protein, promoterless fragment	lafU
-	"DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)"	dinB
-	antitoxin of the YafO-YafN toxin-antitoxin system	yafN
-	ribosome-dependent mRNA interferase, toxin of the YafO-YafN toxin-antitoxin system	yafO
-	predicted acyltransferase with acyl-CoA N-acyltransferase domain	yafP
-	conserved protein	ykfJ
-	predicted peptide chain release factor	prfH
-	peptidase D	pepD
-	Gpt	gpt
-	fermentation/respiration switch protein	frsA
-	RNA polymerase holoenzyme assembly factor Crl	crl
-	PhoE	phoE
-	ProB	proB
-	ProA	proA
tRNA	tRNA<SUP>thrW</SUP>	thrW
-	"CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system"	ykfI
-	antitoxin of the YkfI-YafW toxin-antitoxin pair	yafW
-	predicted protein	ykfH
-	"CP4-6 prophage; predicted DNA repair protein"	ykfG
-	"CP4-6 prophage; predicted protein"	yafX
-	"CP4-6 prophage; predicted protein"	ykfF
-	"CP4-6 prophage; predicted protein"	ykfB
-	"CP4-6 prophage; inner membrane lipoprotein"	yafY
-		ykfL
-		ykfK
-	"CP4-6 prophage; conserved protein"	yafZ
-	"CP4-6 prophage; predicted GTP-binding protein"	ykfA
-	PerR transcriptional regulator	perR
-	"CP4-6 prophage; partial regulator of insertion element IS911A"	insN-1
-	transposase of IS30	insI-1
-	"CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element"	insO-1
small RNA	EyeA	eyeA
-	"CP4-6 prophage; conserved protein"	ykfC
-	"CP4-6 prophage; IS5 transposase and trans-activator"	insH-1
-	<i>S</i>-methyl-L-methionine transporter	mmuP
-	homocysteine <i>S</i>-methyltransferase	mmuM
-	"CP4-6 prophage; predicted ferric transporter subunit/ATP-binding component of ABC superfamily"	afuC
-	AfuB	afuB
-	InsAB' transposase	insAB-2
-	IS1 protein InsB	insB-2
-	IS1 protein InsA	insA-2
-	predicted IS protein	ykgN
-	"CP4-6 prophage; conserved protein"	yagB
-	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"	yagA
-	"CP4-6 prophage; probable 2-keto-3-deoxygluconate aldolase"	yagE
-	"CP4-6 prophage; D-xylonate dehydratase"	yagF
-	YagG GPH Transporter	yagG
-	"CP4-6 prophage; predicted xylosidase/arabinosidase"	yagH
-	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"	yagI
-	ArgF	argF
-	InsAB' transposase	insAB-3
-		insB-3
-	IS1 protein InsA	insA-3
-	"CP4-6 prophage; predicted protein"	yagJ
-	"CP4-6 prophage; conserved protein"	yagK
-	"CP4-6 prophage; DNA-binding protein"	yagL
-	"CP4-6 prophage; predicted protein"	yagM
-	"CP4-6 prophage; predicted protein"	yagN
-	"CP4-6 prophage; predicted phage integrase"	intF
-	small noncoding RNA involved in nucleoid organization	nc1
-	predicted transcriptional regulator LYSR-type	yagP
-	conserved protein	paoD
-	aldehyde dehydrogenase: molybdenum cofactor-binding subunit	paoC
-	aldehyde dehydrogenase, FAD-binding subunit	paoB
-	aldehyde dehydrogenase, Fe-S subunit	paoA
-	inner membrane protein that contributes to acid resistance	yagU
-	predicted ferredoxin	ykgJ
-	<i>E. coli</i> common pilus chaperone - cryptic	ecpE
-	polymerized tip adhesin of <i>E. coli</i> common pilus - cryptic	ecpD
-	outer membrane protein associated with <i>E. coli</i> common pilus formation - cryptic	ecpC
-	<i>E. coli</i> common pilus chaperone - cryptic	ecpB
-	"<i>E. coli</i> common pilus - major subunit; cryptic"	ecpA
-	MatA DNA-binding transcriptional dual regulator	ecpR
-	predicted protein	ykgL
-	predicted ribosomal protein	ykgO
-	predicted ribosomal protein	ykgM
-	small membrane protein	ykgR
-	attaching and effacing protein homolog, pathogenesis factor	eaeH
-	IS3 element transposase	insEF-1
-	IS3 element protein InsE	insE-1
-	IS3 element protein InsF	insF-1
-	predicted DNA-binding transcriptional regulator	ykgA
-		ykgQ
-	conserved inner membrane protein, hypochlorite stress response	rclC
-	predicted protein, hypochlorite stress response	rclB
-	"predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response"	rclA
-	RclR DNA-binding transcriptional activator	rclR
-	predicted oxidoreductase	ykgE
-	predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	ykgF
-	predicted transporter	ykgG
-		b0309
-	predicted inner membrane protein	ykgH
-	choline dehydrogenase	betA
-	BetB	betB
-	BetI DNA-binding transcriptional repressor	betI
-	choline:H<sup>+</sup> symporter	betT
-	phosphodiesterase, c-di-GMP-specific	yahA
-	predicted DNA-binding transcriptional regulator, LysR-type	yahB
-	predicted inner membrane protein	yahC
-	predicted transcriptional regulator with ankyrin domain	yahD
-	predicted protein	yahE
-	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	yahF
-	conserved protein	yahG
-	predicted protein	yahH
-	predicted carbamate kinase-like protein	yahI
-	predicted deaminase with metallo-dependent hydrolase domain	yahJ
-	aldehyde reductase, NADPH-dependent	yahK
-	predicted protein	yahL
-	predicted protein	yahM
-	predicted neutral amino acid efflux system	yahN
-	predicted protein	yahO
-	PrpR DNA-binding transcriptional dual regulator	prpR
-	2-methylisocitrate lyase	prpB
-	2-methylcitrate synthase	prpC
-	2-methylcitrate dehydratase	prpD
-	propionyl-CoA synthetase	prpE
-	cytosine transporter	codB
-		codA
-	CynR DNA-binding transcriptional repressor	cynR
-	carbonic anhydrase monomer	cynT
-	cyanase monomer	cynS
-	cyanate transporter	cynX
-	galactoside O-acetyltransferase monomer	lacA
-	lactose / melibiose:H<sup>+</sup> symporter LacY	lacY
-	"&beta;-galactosidase monomer"	lacZ
-	LacI DNA-binding transcriptional repressor	lacI
-	MhpR transcriptional activator	mhpR
-	3-(3-hydroxyphenyl)propionate 2-hydroxylase	mhpA
-	3-(2,3-dihydroxyphenyl)propionate dioxygenase monomer	mhpB
-	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	mhpC
-		mhpD
-	acetaldehyde dehydrogenase 2	mhpF
-	4-hydroxy-2-ketovalerate aldolase	mhpE
-	3-hydroxyphenylpropionate / 3-hydroxycinnamate:H<sup>+</sup> symporter	mhpT
-	nucleoprotein/polynucleotide-associated enzyme	yaiL
-	<i>S</i>-formylglutathione hydrolase	frmB
-	FrmA	frmA
-	regulator protein	frmR
-	outer membrane protein	yaiO
-	predicted acyl transferase (pseudogene)	yaiX
-	IS2 element transposase InsAB'	insCD-1
-	IS2 element protein InsA	insC-1
-	IS2 element protein	insD-1
-	predicted protein	yaiF
-	predicted glucosyltransferase	yaiP
-	conserved protein	yaiS
-	taurine ABC transporter - periplasmic binding protein	tauA
-	taurine ABC transporter - ATP binding subunit	tauB
-	taurine ABC transporter - membrane subunit	tauC
-	taurine dioxygenase monomer	tauD
-	porphobilinogen synthase	hemB
-		ykiB
-	predicted protein	yaiT
-	IS3 element transposase	insEF-2
-		insF-2
-	IS3 element protein InsE	insE-2
-	predicted protein	yaiU
-	predicted DNA-binding transcriptional regulator	yaiV
-	DD-endopeptidase/DD-carboxypeptidase	ampH
-		sbmA
-	surface exposed outer membrane lipoprotein	yaiW
-	inner membrane protein	yaiY
-	predicted inner membrane protein	yaiZ
-	D-alanine-D-alanine ligase A	ddlA
-	"anti-adaptor protein for &sigma;<sup>S</sup> stabilization"	iraP
-	PhoA	phoA
-	conserved protein	psiF
-	predicted diguanylate cyclase	adrA
-	pyrroline-5-carboxylate reductase monomer	proC
-	conserved protein	yaiI
-	shikimate kinase II	aroL
-	predicted protein	yaiA
-	conserved protein	aroM
-	conserved protein	yaiE
-	predicted protein	ykiA
-	nucleoid-associated protein RdgC	rdgC
-	manno(fructo)kinase	mak
-	putative arabinose efflux transporter	araJ
-	ATP-dependent dsDNA exonuclease	sbcC
-	ATP-dependent dsDNA exonuclease	sbcD
-	PhoB transcriptional dual regulator	phoB
-	PhoR	phoR
-	branched chain amino acid transporter BrnQ	brnQ
-	proline:H+ symporter  - cryptic	proY
-	maltodextrin glucosidase	malZ
-	acyl carrier protein phosphodiesterase	acpH
-	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA
-	tRNA-guanine transglycosylase monomer	tgt
-	YajC	yajC
-	SecD	secD
-	SecF	secF
-	conserved protein	yajD
-	"nucleoside channel; receptor of phage T6 and colicin K"	tsx
-	predicted lipoprotein	yajI
-	NrdR	nrdR
-	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	ribD
-	RibE	ribE
-	transcription antitermination protein NusB	nusB
-	thiamin monophosphate kinase	thiL
-	phosphatidylglycerophosphatase A	pgpA
-	putative NAD(P)H-dependent xylose reductase	yajO
-	Dxs	dxs
-	geranyl diphosphate synthase/farnesyl diphosphate synthase	ispA
-	exonuclease VII, small subunit	xseB
-	ThiI	thiI
-	chaperone, protecting proteins in response to oxidative stress	yajL
-	2-dehydropantoate 2-reductase	panE
-	nucleotide binding protein	yajQ
-	YajR MFS transporter	yajR
-	heme O synthase	cyoE
-	cytochrome <i>bo</i> terminal oxidase subunit IV	cyoD
-	cytochrome <i>bo</i> terminal oxidase subunit III	cyoC
-	cytochrome <i>bo</i> terminal oxidase subunit I	cyoB
-	cytochrome <i>bo</i> terminal oxidase subunit II	cyoA
-	muropeptide:H<sup>+</sup> symporter	ampG
-	predicted lipoprotein	yajG
-	BolA DNA-binding transcriptional dual regulator	bolA
-	"trigger factor; a molecular chaperone involved in cell division"	tig
-	ClpP	clpP
-	ClpX	clpX
small RNA	SraA	sraA
-	Lon	lon
-	"transcriptional dual regulator HU-&beta;, NS1 (HU-1)"	hupB
-	periplasmic folding helper protein	ppiD
-	periplasmic protein associated with repression of competance	ybaV
-	thioesterase III	fadM
-	7-cyano-7-deazaguanine synthase	queC
-	predicted transporter subunit: periplasmic-binding component of ABC superfamily	ybaE
-	pyridoxal phosphatase/HMP-PP hydrolase	cof
-	predicted DNA-binding transcriptional regulator	ybaO
-	predicted multidrug transporter subunit of ABC superfamily: ATP-binding component	mdlA
-	predicted multidrug transporter subunit of ABC superfamily: ATP-binding component	mdlB
-	GlnK	glnK
-	AmtB	amtB
-	TesB	tesB
-	predicted outer membrane lipoprotein	ybaY
-	DNA base-flipping protein	atl
small RNA	Ffs	ffs
-	conserved protein	ybaA
-	conserved inner membrane protein	ylaB
-	predicted inner membrane protein	ylaC
-	Maa	maa
-	haemolysin expression modulating protein	hha
-	protein that modulates Hha toxicity	tomB
-	AcrB RND-type permease	acrB
-	AcrA membrane fusion protein	acrA
-	AcrR DNA-binding transcriptional repressor	acrR
-	potassium dependent mechanosensitive channel MscK	mscK
-	small protein involved in the cell envelope stress response	ybaM
-	primosomal replication protein N''	priC
-	conserved inner membrane protein	ybaN
-	adenine phosphoribosyltransferase	apt
-	"DNA polymerase III, &gamma; subunit"	dnaX
-	conserved DNA-binding protein	ybaB
-	recombination and repair	recR
-	HtpG monomer	htpG
-	adenylate kinase/adenylate kinase	adk
-	ferrochelatase	hemH
-	acetyl esterase	aes
-		gsk
-	YbaL CPA2 transporter	ybaL
-	fosmidomycin efflux transporter	fsr
-	UDP-sugar hydrolase/5'-ribonucleotidase/5'-deoxyribonucleotidase	ushA
-	Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase	ybaK
small RNA	MicM	micM
-	conserved protein	ybaP
-	predicted DNA-binding transcriptional regulator	ybaQ
-	Cu<sup>+</sup> efflux ATPase	copA
-	glutaminase	ybaS
-	YbaT APC transporter	ybaT
-	CueR transcriptional dual regulator	cueR
-	conserved inner membrane protein	ybbJ
-	predicted protease, membrane anchored	qmcA
-	ABC transporter with a role in iron homeostasis -  ATP-binding subunit	fetA
-	ABC transporter with a role in iron homeostasis - membrane subunit	fetB
-	chaperone and weak protein oxidoreductase	ybbN
-	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	ybbO
-		tesA
-	YbbA	ybbA
-	YbbP	ybbP
-	RhsD protein in rhs element	rhsD
-	predicted protein	ybbC
-	conserved protein, rhs-like	ylbH
-	predicted protein	ybbD
-		Phantom Gene
-	predicted DNA-binding transcriptional regulator	ylbG
-	tRNA 2-selenouridine synthase	ybbB
-	AllS transcriptional activator	allS
-	ureidoglycolate lyase	allA
-	AllR DNA-binding transcriptional repressor	allR
-	Gcl	gcl
-		hyi
-	tartronate semialdehyde reductase 2	glxR
-	YbbW NCS1 Transporter	ybbW
-	allantoinase monomer	allB
-	predicted uracil/xanthine transporter	ybbY
-	glycerate kinase II	glxK
-	<i>S</i>-ureidoglycine aminohydrolase	allE
-	allantoate amidohydrolase monomer	allC
-	ureidoglycolate dehydrogenase	allD
-	predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain	fdrA
-	predicted protein, N-ter fragment	ylbE_1
-	predicted protein, C-ter fragment	ylbE_2
-	conserved protein	ylbF
-	predicted carbamate kinase	ybcF
-	N5-carboxyaminoimidazole ribonucleotide synthetase monomer	purK
-	PurE	purE
-	UDP-2,3-diacylglucosamine hydrolase	lpxH
-	peptidyl-prolyl <i>cis-trans</i> isomerase B (rotamase B)	ppiB
-	cysteinyl-tRNA synthetase	cysS
-	conserved inner membrane protein	ybcI
-	predicted RNA-binding protein	ybcJ
-		folD
-	predicted fimbrial-like adhesin protein	sfmA
-	predicted pilin chaperone, periplasmic	sfmC
-	predicted outer membrane export usher protein	sfmD
-	predicted fimbrial-like adhesin protein	sfmH
-	predicted fimbrial-like adhesin protein	sfmF
-	FimZ transcriptional regulator	fimZ
tRNA	tRNA<SUP>argU</SUP>	argU
-	"DLP12 prophage; predicted integrase"	intD
-		Phantom Gene
-	"DLP12 prophage; predicted exonuclease"	ybcC
-	"DLP12 prophage; predicted replication protein fragment"	ybcD
-	IS3 element transposase	insEF-3
-	"DLP12 prophage; IS3 element protein InsE"	insE-3
-		insF-3
-	"DLP12 prophage; predicted protein"	renD
-		emrE
-	"DLP12 prophage; predicted recombinase"	ybcK
-	"DLP12 prophage; periplasmic protein"	ybcL
-	"DLP12 prophage; predicted DNA-binding transcriptional regulator"	ybcM
-	"DLP12 prophage; hypothetical protein"	ylcH
-	"DLP12 prophage; DNA base-flipping protein"	ybcN
-	DLP12 prophage, conserved protein similar to phage 82 and lambda proteins	ninE
-	"DLP12 prophage; predicted protein"	ybcO
-	endodeoxyribonuclease RUS (Holliday junction resolvase)	rusA
-	"DLP12 prophage; small protein"	ylcG
-	"DLP12 prophage; predicted antitermination protein"	ybcQ
small RNA	IpeX	ipeX
-	"DLP12 prophage; IS5 transposase and trans-activator"	insH-2
-	"outer membrane porin protein; locus of qsr prophage"	nmpC
-	"DLP12 prophage; predicted phage lysis protein"	essD
-	"DLP12 prophage; lysozyme"	rrrD
-	"DLP12 prophage; predicted murein endopeptidase"	rzpD
-	"DLP12 prophage; predicted lipoprotein"	rzoD
-	bacteriophage lambda Bor protein homolog	borD
-	"DLP12 prophage; predicted protein"	ybcV
-	"DLP12 prophage; predicted protein"	ybcW
-	hypothetical protein	ylcI
-	"DLP12 prophage; DNA packaging protein"	nohB
-	"DLP12 prophage; predicted tail fiber assembly protein"	tfaD
-	"DLP12 prophage; predicted SAM-dependent methyltransferase"	ybcY
-	"DLP12 prophage; predicted protein"	tfaX
-	AppY DNA-binding transcriptional activator	appY
-	outer membrane protease VII (outer membrane protein 3b)	ompT
-	EnvY DNA-binding transcriptional activator	envY
-	predicted protein	ybcH
-	bacteriophage N4 receptor, outer membrane protein	nfrA
-	bacteriophage N4 receptor, inner membrane subunit	nfrB
-	CusS sensory histidine kinase	cusS
-	CusR	cusR
-	copper / silver efflux transport system - outer membrane porin	cusC
-	copper / silver efflux transport system - periplasmic binding protein and metallochaperone	cusF
-	copper / silver  efflux transport system - membrane fusion protein	cusB
-	copper / silver efflux transport system - membrane subunit	cusA
-	phenylalanine:H<sup>+</sup> symporter PheP	pheP
-	mechanosensitive channel of miniconductance YbdG monomer	ybdG
-	NfsB monomer	nfsB
-	conserved protein	ybdF
-	predicted inner membrane protein	ybdJ
-	carboxylate-amine ligase	ybdK
small RNA	SokE	sokE
-	HokE	hokE
-	IS186/IS421 transposase	insL-2
-	phosphopantetheinyl transferase/phosphopantetheinyl transferase	entD
-	ferric enterobactin / colicin B / colicin D outer membrane porin FepA	fepA
-	enterochelin esterase	fes
-	MbtH-like protein that enhances the catalytic function of EntF	ybdZ
-	apo-serine activating enzyme	entF
-	ferric enterobactin (enterochelin) transport	fepE
-	ferric enterobactin ABC transporter - ATP binding subunit	fepC
-	ferric enterobactin ABC transporter - membrane subunit	fepG
-	ferric enterobactin ABC transporter - membrane subunit	fepD
-	enterobactin efflux transporter EntS	entS
-	ferric enterobactin ABC transporter - periplasmic binding protein	fepB
-	isochorismate synthase 1	entC
-	EntE	entE
-	EntB monomer	entB
-	EntA	entA
-	proofreading thioesterase in enterobactin biosynthesis	entH
-	peptide transporter induced by carbon starvation	cstA
-	conserved protein	ybdD
-	predicted oxidoreductase	ybdH
-	methionine-oxo-acid transaminase, PLP-dependent	ybdL
-	conserved protein	ybdM
-	conserved protein	ybdN
-	predicted DNA-binding transcriptional regulator LYSR-type	ybdO
-	DsbG<SUB>reduced</SUB>	dsbG
-	alkyl hydroperoxide reductase, AhpC component	ahpC
-	AhpF component	ahpF
-	universal stress protein UP12	uspG
-	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	ybdR
-		Phantom Gene
-	regulator of nucleoside diphosphate kinase	rnk
-	RNase I, cleaves phosphodiester bond between any two nucleotides	rna
-	citrate:succinate antiporter	citT
